values,time_s,h,m,s
0.04,0:00:00,0,0,0
0.12,0:00:20,0,0,20
0.04,0:00:40,0,0,40
0.12,0:01:00,0,1,0
0.11,0:01:20,0,1,20
0.05,0:01:40,0,1,40
0.08,0:02:00,0,2,0
0.08,0:02:20,0,2,20
0.13,0:02:40,0,2,40
0.03,0:03:00,0,3,0
0.1,0:03:20,0,3,20
0.06,0:03:40,0,3,40
0.06,0:04:00,0,4,0
0.1,0:04:20,0,4,20
0.05,0:04:40,0,4,40
0.11,0:05:00,0,5,0
0.1,0:05:20,0,5,20
0.06,0:05:40,0,5,40
0.07,0:06:00,0,6,0
0.09,0:06:20,0,6,20
0.05,0:06:40,0,6,40
0.11,0:07:00,0,7,0
0.05,0:07:20,0,7,20
0.11,0:07:40,0,7,40
0.09,0:08:00,0,8,0
0.07,0:08:20,0,8,20
0.07,0:08:40,0,8,40
0.09,0:09:00,0,9,0
0.1,0:09:20,0,9,20
0.06,0:09:40,0,9,40
0.1,0:10:00,0,10,0
0.06,0:10:20,0,10,20
0.07,0:10:40,0,10,40
0.09,0:11:00,0,11,0
0.06,0:11:20,0,11,20
0.1,0:11:40,0,11,40
0.06,0:12:00,0,12,0
0.1,0:12:20,0,12,20
0.09,0:12:40,0,12,40
0.07,0:13:00,0,13,0
0.07,0:13:20,0,13,20
0.09,0:13:40,0,13,40
0.03,0:14:00,0,14,0
0.13,0:14:20,0,14,20
0.08,0:14:40,0,14,40
0.08,0:15:00,0,15,0
0.09,0:15:20,0,15,20
0.07,0:15:40,0,15,40
0.1,0:16:00,0,16,0
0.06,0:16:20,0,16,20
0.02,0:16:40,0,16,40
0.14,0:17:00,0,17,0
0.07,0:17:20,0,17,20
0.09,0:17:40,0,17,40
0.07,0:18:00,0,18,0
0.09,0:18:20,0,18,20
0.09,0:18:40,0,18,40
0.07,0:19:00,0,19,0
0.05,0:19:20,0,19,20
0.11,0:19:40,0,19,40
0.1,0:20:00,0,20,0
0.06,0:20:20,0,20,20
0.07,0:20:40,0,20,40
0.09,0:21:00,0,21,0
0.08,0:21:20,0,21,20
0.08,0:21:40,0,21,40
0.04,0:22:00,0,22,0
0.12,0:22:20,0,22,20
0.04,0:22:40,0,22,40
0.12,0:23:00,0,23,0
0.08,0:23:20,0,23,20
0.08,0:23:40,0,23,40
0.05,0:24:00,0,24,0
0.11,0:24:20,0,24,20
0.11,0:24:40,0,24,40
0.05,0:25:00,0,25,0
0.04,0:25:20,0,25,20
0.12,0:25:40,0,25,40
0.07,0:26:00,0,26,0
0.09,0:26:20,0,26,20
0.02,0:26:40,0,26,40
0.14,0:27:00,0,27,0
0.09,0:27:20,0,27,20
0.07,0:27:40,0,27,40
0.1,0:28:00,0,28,0
0.06,0:28:20,0,28,20
0.13,0:28:40,0,28,40
